file_name, char
A_1.png,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_1aug,A
A_22.png,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_22aug,A
A_43.png,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_43aug,A
A_64.png,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_64aug,A
A_85.png,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
A_85aug,A
B_106.png,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_106aug,B
B_127.png,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_127aug,B
B_148.png,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_148aug,B
B_169.png,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
B_169aug,B
